"id","arbeitgeber","titel","url","ort_plz","bewerbungsfrist"
1," Stadt Meerbusch","Sachbearbeiter/Sachbearbeiterin (w/m/d) Allgemeine Verkehrslenkung und -sicherung","https://www.service.bund.de/IMPORTE/Stellenangebote/stellenmarkt_nrw/2022/04/37c983fd-b2cd-4c95-9572-e287d82a33cd.html#track=feed-jobs","     40670 Meerbusch",NULL
2," Stadt Meerbusch","Sachbearbeiter/-in (w/m/d) für die Abteilung Asyl","https://www.service.bund.de/IMPORTE/Stellenangebote/stellenmarkt_nrw/2022/04/fe41594c-047b-4157-8a49-d5a9d416199f.html#track=feed-jobs","     40670 Meerbusch",NULL
3," Stadt Meerbusch","Sachbearbeiter/Sachbearbeiterin (w/m/d) für den Vollstreckungsinnendienst","https://www.service.bund.de/IMPORTE/Stellenangebote/stellenmarkt_nrw/2022/04/8e1abce7-cc85-41f5-97f0-9c0d4ad051a2.html#track=feed-jobs","     40670 Meerbusch",NULL
4," Stadt Herrenberg","Sachgebietsleitung Wärme und erneuerbare Energien (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790922.html#track=feed-jobs","     71083 Herrenberg",NULL
5," Hochschule Hannover","Fachinformatiker*in für Systemintegration (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790919.html#track=feed-jobs","     30539 Hannover",NULL
6," Landkreis Gifhorn","Pandemieplanung und Qualitätsmanagement","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790917.html#track=feed-jobs","     38518 Gifhorn",NULL
7," Landkreis Gifhorn","Gesundheitsberichterstattung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790916.html#track=feed-jobs","     38518 Gifhorn",NULL
8," Landkreis Gifhorn","Hygienekontrolleur/in bzw. Gesundheitsaufseher/in (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790915.html#track=feed-jobs","     38518 Gifhorn",NULL
9," Landkreis Gifhorn","Gesundheitsförderung und Prävention","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790914.html#track=feed-jobs","     38518 Gifhorn",NULL
10," Bezirksamt Tempelhof-Sch&#246;neberg von Berlin","Jobcenter - Sachbearbeitung Leistungsgewährung im Bereich SGB II (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/776182.html#track=feed-jobs","     10825 Berlin",NULL
11," Schulverband Horst","Mitarbeiter*in als Kassenkraft im Freibad in Teilzeit befristet für die Saison 2022","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790912.html#track=feed-jobs","     25358 Horst /Holstein",NULL
12," Deutsches Evaluierungsinstitut der Entwicklungszusammenarbeit gGmbH (DEval)","Mitarbeiter*in Rekrutierung / Recruiter*in","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790875.html#track=feed-jobs","     53113 Bonn",NULL
13," Gemeinde Wietze","Mitarbeiter/innen (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790911.html#track=feed-jobs","     29323 Wietze",NULL
14," Stadtverwaltung Traunreut","LEITUNG FÜR DIE STÄDTISCHE KINDERKRIPPE ZWERGENLAND MIT 38 WOCHENSTUNDEN","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790910.html#track=feed-jobs","     83301 Traunreut",NULL
15," Bundeseisenbahnverm&#246;gen Dienststelle S&#252;d","Sachbearbeiterin/Sachbearbeiter (m/w/d) Immobilienangelegenheiten am Dienstort Stuttgart","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790905.html#track=feed-jobs","     70174 Stuttgart",NULL
16," Gemeinde Wietze","Verwaltungsfachangestellte/n (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790909.html#track=feed-jobs","     29323 Wietze",NULL
17," Gemeinde Wietze","Verwaltungsfachangestellte/n oder Kauffrau / Kaufmann für Büromanagement (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790904.html#track=feed-jobs","     29323 Wietze",NULL
18," Samtgemeinde Jesteburg","Sachbearbeiter*in (m/w/d) im Ratsbüro der Samtgemeindebürgermeisterin","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790901.html#track=feed-jobs","     21266 Jesteburg",NULL
19," Stadt Bornheim","Sachbearbeiter/in (m/w/d) in der Bauaufsicht","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790893.html#track=feed-jobs","     53332 Bornheim",NULL
20," Regionalverband Ruhr","Sachbearbeiter (w/m/d) Finanzen","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790898.html#track=feed-jobs","     45128 Essen",NULL
21," Bezirksamt Tempelhof-Sch&#246;neberg von Berlin","Gärtner_in","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/787415.html#track=feed-jobs","     10825 Berlin",NULL
22," Bundeseisenbahnverm&#246;gen Dienststelle S&#252;d","Sachbearbeiterin/Sachbearbeiter (m/w/d) Krankenversorgung der Bundesbahnbeamten (KVB) am Dienstort Rosenheim","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790896.html#track=feed-jobs","     83026 Rosenheim",NULL
23," Bezirksamt Tempelhof-Sch&#246;neberg von Berlin","Mitarbeit in der Verwaltung der Volkshochschule (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/783369.html#track=feed-jobs","     10825 Berlin",NULL
24," Geb&#228;udemanagement Schleswig-Holstein A&#246;R (GMSH)","Architektin (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/784018.html#track=feed-jobs","     24782 B&#252;delsdorf",NULL
25," Bezirksamt Tempelhof-Sch&#246;neberg von Berlin","Leitung einer Stadtteilbibliothek (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/781655.html#track=feed-jobs","     10825 Berlin",NULL
26," Stadt Halle (Saale)","Sachbearbeiter Denkmalschutz (m/w/d) (79/2022)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790888.html#track=feed-jobs","     06108 Halle (Saale)",NULL
27," Bezirksamt Tempelhof-Sch&#246;neberg von Berlin","Projektbearbeitung von schulischen Baumaßnahmen (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/781796.html#track=feed-jobs","     10825 Berlin",NULL
28," Stadt Br&#252;hl","Klimaschutz und Grünflächenmanagement","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790890.html#track=feed-jobs","     50321 Br&#252;hl",NULL
29," Komm.ONE - Baden-W&#252;rttemberg","Teammitglied (w/m/d) Shared Services F&P Centerbüro (in Voll- und Teilzeit)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790889.html#track=feed-jobs","     70469 Stuttgart",NULL
30," Rheingau-Taunus-Kreis","Fachdienst Kommunales JobCenter - Bildung und Teilhabe","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790883.html#track=feed-jobs","     65510 Idstein",NULL
31," Bundeseisenbahnverm&#246;gen Dienststelle S&#252;d","Sachbearbeiterin/Sachbearbeiter (m/w/d) - Krankenversorgung der Bundesbahnbeamten (KVB) am Standort Karlsruhe","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790877.html#track=feed-jobs","     76135 Karlsruhe",NULL
32," Bezirksamt Tempelhof-Sch&#246;neberg von Berlin","Sachbearbeitung in der Arbeitsgruppe Städtebauliche Entwürfe, planungsrechtliche Bauberatung (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/783966.html#track=feed-jobs","     10825 Berlin",NULL
33," Hessisches Kultusministerium","Befriste Mitarbeit im Referat Z.4 (Elternzeitvertretung)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790884.html#track=feed-jobs","     65187 Wiesbaden",NULL
34," Gemeinde Schwalmtal","Sachbearbeitung Digitalisierung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790882.html#track=feed-jobs","     41366 Schwalmtal",NULL
35," Stadt Monheim am Rhein","Abteilungsleitung Kanal und Deich","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790881.html#track=feed-jobs","     40789 Monheim am Rhein",NULL
36," Hochschule Hannover","Aufbau und Koordination eines innovativen Mentoring-Programms (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790863.html#track=feed-jobs","     30459 Hannover",NULL
37," Bezirksamt Tempelhof-Sch&#246;neberg von Berlin","Sachbearbeitung Bildungskoordination (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/781106.html#track=feed-jobs","     10825 Berlin",NULL
38," AKDB","Leitung (m/w/d) Team Support / Hotline / Kundenservice","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/649167.html#track=feed-jobs","     80686 M&#252;nchen",NULL
39," Gemeinde Schwalmtal","Sachbearbeitung Bürgerservice","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790878.html#track=feed-jobs","     41366 Schwalmtal",NULL
40," AKDB","Leitung (m/w/d) Team Digital Factory","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/752837.html#track=feed-jobs","     80686 M&#252;nchen",NULL
41," Stadt Br&#252;hl","Finanzcontrolling","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790880.html#track=feed-jobs","     50321 Br&#252;hl",NULL
42," Evangelische Hochschule Berlin","Gastdozentur Recht und Gesellschaft","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790876.html#track=feed-jobs","     14167 Berlin",NULL
43," Bundesagentur f&#252;r Arbeit","Sachbearbeiter/-in (w/m/d) Leistungsgewährung im Bereich Unterhaltsheranziehung (SGB II)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790873.html#track=feed-jobs","     71332 Waiblingen",NULL
44," AKDB","Betriebswirt (m/w/d) als Requirements Engineer/Anforderungsmanager (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790866.html#track=feed-jobs","     80686 M&#252;nchen",NULL
45," Ostwestfalen Lippe IT Standort Paderborn","Incident Management und Service Desk Koordination (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790846.html#track=feed-jobs","     33100 Paderborn",NULL
46," Staatsbetrieb S&#228;chsisches Immobilien- und Baumanagement","Mitarbeiter Immobilienmanagement (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790869.html#track=feed-jobs","     04275 Leipzig",NULL
47," Dt. Zentrum f. lntegr.- u. Migrat.forsch. (DeZIM) e.V.","Wissenschaftliche Projektleitung (m/w/d/k. A.)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790864.html#track=feed-jobs","     10117 Berlin",NULL
48," Bundesagentur f&#252;r Arbeit","Fachkraft für Vergabe im Regionalen Einkaufszentrum (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790856.html#track=feed-jobs","     60311 Frankfurt am Main",NULL
49," Amt Odervorland","Mitarbeiter Anlagenbuchhaltung/ Jahresabschlusserstellung (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790865.html#track=feed-jobs","     15518 Briesen (Mark)",NULL
50," Amt Odervorland","Sachbearbeiter Gebäudemanagement/ Wohnungsverwaltung (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790861.html#track=feed-jobs","     15518 Briesen (Mark)",NULL
